symbol,name,cmc_rank,price_usd,market_cap_usd,volume_24h_usd,pct_1h,pct_24h,pct_7d,circulating_supply,last_updated,timestamp_snapshot
NATIX,NATIX Network,1327,0.00009109716039466929,3698833.9036942297,192651.49087737,0.03093038,-1.53941724,0.91697437,40603174541,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
NEIRO,Neiro,612,0.00005745567379877273,24170687.76745485,11731277.95490158,0.71064229,2.32352551,0.8333245,420684088609.03735,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
NEON,Neon EVM,1106,0.028309002273967293,6779030.148379777,442557.14159345,-0.01144099,-0.48839547,-1.88555206,239465527,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
NOS,Nosana,758,0.22765723328370563,16117015.449120242,341423.43657441,0.2858437,0.27412054,-7.21498388,70795094.962062,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
NOT,Notcoin,472,0.0003578933197128531,35585120.142784126,9054754.79478333,0.21296148,-0.86863939,0.61346545,99429405866.90741,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
OMFG,Omnipair,7927,0.13703862234445519,0,0,0,1.12203123,-39.91392456,0,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
ORE,Ore,711,41.0794320776521,18452232.77768309,462947.10865965,1.18002294,8.77953663,19.78601234,449184.22296596,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
OSMO,Osmosis,629,0.030045915579301148,23126555.74922533,1512285.63002378,-0.31208941,-0.07361496,-3.97403184,769707140,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
PENDLE,Pendle,141,1.0677363901950403,178120891.10202527,24376514.75569677,0.56144171,1.85763432,1.6076943,166821036.29481846,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
PENGU,Pudgy Penguins,88,0.006629553045726696,416736330.35431117,83456800.33731794,0.55801355,2.09944735,2.10451263,62860396090.04,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
PIPPIN,pippin,610,0.024457340773960865,24457249.132304985,14886534.03649237,-1.7076908,-9.60504051,-23.54682606,999996253,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
PNUT,Peanut the Squirrel,418,0.041131113227090545,41124624.26386243,8297924.19921218,0.46685163,2.12147851,-1.67459133,999842237.111544,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
POPCAT,Popcat (SOL),374,0.050121863783253666,49116278.69117586,10563330.52824167,0.43566714,0.46760173,2.32285849,979937196.7406012,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
REN,Ren,1389,0.003080079387492519,3058143.0969680287,40677.36730347,-0.05944361,5.49584592,-3.37947727,992878011.322186,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
RETARDIO,RETARDIO,1709,0.0015683657724084481,1530209.4171484527,635916.72033968,0.45497358,2.25671378,-2.09276189,975671265,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
SCF,Smoking Chicken Fish,2267,0.00045228191872280244,452241.5064740289,333.01797127,-0.06163468,0.84247627,-1.53342353,999910648.1,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
SDEX,SmarDex,718,0.0018581656317949093,18187356.753671445,300007.41592435,0.08070276,-0.09959512,-6.98767085,9787801712.866268,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
SELFIE,SelfieDogCoin,2492,0.0002671570331006525,262807.16412102943,6011.20402196,-1.16305023,-2.26516666,-1.78688134,983717932,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
SHDW,Shadow Token,1222,0.030037189268738797,5077956.926162671,30602.59558106,-0.02194303,0.02603493,3.29009357,169055662.32349026,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
SHIB,Shiba Inu,29,0.000005768393438537864,3398988465.7986665,86589732.86056884,-0.0870896,-0.14008436,-3.70960224,589243521964101.8,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
SIGMA,Sigma.Money,1619,0.012812188817283592,1857767.3785061208,223487.72414902,-0.82555313,-1.20162209,-43.93481624,145000000,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
SWEAT,SWEAT,1524,0.0002952381877428546,2298202.093593413,854768.92288294,0.02259483,-2.66404194,-7.3485679,7784230458.68,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
TON,Toncoin,28,1.4305833931078447,3550345987.226735,124847468.62613373,-0.04786662,-0.75468124,15.04638781,2481746960.24805,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
TOOKER,tooker kurlson,7070,0.00011858185810484732,0,0,0,-0.12879439,0.01117616,0,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
TRB,Tellor,409,15.2752139450838,42319185.923729524,23733194.89497236,0.34561935,1.62255618,1.7741151,2770448,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
TREMP,Doland Tremp,3961,0.005032880355922564,0,216256.10184505,-15.913108,-9.76731007,-2.98057081,0,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
TRUMP,OFFICIAL TRUMP,71,2.818256155811756,655238774.9392489,99774272.93745765,-0.02344904,0.33409986,-2.81535676,232497948.629697,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
TRX,TRON,8,0.3196691978936695,30296270981.398613,603619390.984107,-0.19936139,-0.91489599,1.0018457,94773819876.9966,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
UOS,Ultra,1420,0.005982320081406258,2869251.4392828294,338086.92522028,2.07187459,-0.45258646,-21.41881419,479621852.4316,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
USA,American Coin,1557,1.8509423204949475e-7,2140166.838999294,165867.29098246,0.70397562,0.69133207,0.01590225,11562579856227,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
