symbol,price_usd,ret_7d,ret_14d,ret_30d,vol_14d,vol_30d,maxdd_30d,rsi_14,last_date
0G,0.2040485272862548,-0.08752389724350607,-0.327699439276012,-0.5113261697687097,0.05028874545850522,0.05131473098362464,-0.483361838073636,24.258644053870043,2026-07-01
1INCH,0.068254820761734,0.015861396059945188,-0.11630166806427533,-0.19627466080774036,0.027944643387779,0.034159749805112716,-0.19086545359776685,40.06704168560767,2026-07-01
2Z,0.0654148188129139,0.01884891700795266,-0.15207472298439562,-0.25773468522005305,0.0835317502563949,0.06818324350736077,-0.2743498534027463,44.000578169159304,2026-07-01
4,0.0087488149203453,0.034806349069429476,0.04371208359413381,-0.01623474220181831,0.035393126558674895,0.06515550124636361,-0.19519758205651783,54.98272160589243,2026-07-01
AAVE,85.95272638085638,0.15582734076806104,0.12060384675223035,0.08199397286356724,0.06737413217529482,0.06443796071708122,-0.20743819873025626,56.579522275344225,2026-07-01
AB,0.0009793324516391,-0.08458692420167757,-0.07164054122912455,-0.24181399755963018,0.022348574548921744,0.01973087683994888,-0.20045239224735378,19.603300167835314,2026-07-01
ACT,0.0098001800214983,0.29506939880098604,-0.05081398550074634,-0.19842245705280503,0.1672938459580946,0.11691527738318419,-0.33431813708943514,49.58015969772562,2026-07-01
ADA,0.1547250733785231,0.09512116854609154,-0.09481276437644204,-0.32711984097495006,0.035402630543911344,0.05107211086265918,-0.3516172519051426,40.94309946232725,2026-07-01
AERO,0.4864456367545912,0.011705280448283784,-0.05175252883131021,0.2191154703658702,0.06898437105509285,0.07193119386468363,-0.16429414508869333,55.99075462244008,2026-07-01
AGENT,7.73406364608e-05,-0.044772970748957364,-0.13143705829595898,-0.23412045020483851,0.029339870697609478,0.025615752213485766,-0.22554947733400077,29.649387536171687,2026-07-01
AI16Z,0.0004156363688165,0.00781894514282322,-0.10691251093494081,-0.22611942963574794,0.049239366044404605,0.05727431033961424,-0.273654781901399,45.16229331288641,2026-07-01
AIOZ,0.0525584997778121,-0.001032519656474662,-0.12200633172492004,-0.20108047734516188,0.021038221561836722,0.041550637704758295,-0.17928653331844546,46.98669741437231,2026-07-01
AIPUMP,2.87015318231e-05,-0.009550491225344016,-0.1629626677709144,-0.9942135334318495,0.02240435652154417,0.5072184638952166,-0.9941278534405693,32.630614092355245,2026-07-01
AKT,0.6044984242902891,-0.07857225615511387,-0.2636284827858306,-0.18169930822547586,0.04781534490170952,0.060768835485217554,-0.2636284827858306,39.439559490929994,2026-07-01
ALCH,0.0700776546339195,0.0784990183935752,-0.035864785345206096,-0.006134539665683891,0.05690263853830681,0.05842760133023629,-0.19104571297882822,48.93931884639524,2026-07-01
ALEO,0.0214524493281965,-0.21034244486614329,-0.45989641762707756,-0.4379980020637708,0.05294911487028525,0.06617727193132307,-0.4662888264015562,27.584416022290014,2026-07-01
ALEPH,0.0104549099872497,-0.09175429894760223,-0.26028509621946305,-0.3352539305670168,0.13767307148871225,0.09779101795068465,-0.30326062207472515,39.982667033508704,2026-07-01
ALGO,0.0845348726667446,-0.027688109484183987,-0.14652150822954302,-0.3017121091996636,0.025520825752396597,0.03907420447823107,-0.29645569788773973,38.32558113343784,2026-07-01
ALKIMI,0.0009020532386711,-0.17982093884094685,-0.40124352424375076,-0.6074908936424259,0.3109066145985789,0.24871973013286833,-0.580840046785727,41.000691262061885,2026-07-01
ALT,0.0058180692817486,0.03299946467048964,-0.13965505740000062,-0.16883867671233332,0.04377679735288459,0.03939445285096518,-0.20643808514803674,43.2198580442159,2026-07-01
