symbol,name,cmc_rank,price_usd,market_cap_usd,volume_24h_usd,pct_1h,pct_24h,pct_7d,circulating_supply,last_updated,timestamp_snapshot
EIGEN,EigenLayer,125,1.4357872626360975,472414915.74402195,123505662.83878398,-1.38941145,3.16256198,16.02026578,329028490.527678,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
ENA,Ethena,26,0.7897674971989478,5440757648.672126,985020844.8913927,-1.14000487,-2.32759657,8.64799969,6889062500,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
ENS,Ethereum Name Service,92,23.44150534252098,866809022.2379578,64584399.25161555,-0.55378223,3.36944378,1.98114152,36977532.35435938,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
ETC,Ethereum Classic,39,20.993398811677114,3221715220.57718,137224374.84077632,-0.35151167,2.71312667,0.03233119,153463250.49496853,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
ETH,Ethereum,2,4365.396420318744,526924829760.82043,34599721684.771126,-0.36532525,1.92417512,-2.44525735,120704920.93415572,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
ETHFI,ether.fi,112,1.287702939940357,600489953.5139793,114724808.40445104,-0.66911931,5.08606507,12.90542312,466326460,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
FARTCOIN,Fartcoin,89,0.8773512548034551,877349724.7028667,217203750.4119155,-0.84247859,8.03888767,9.33253818,999998256,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
FET,Artificial Superintelligence Alliance,64,0.6539414501727975,1551752193.7837267,125570575.14479637,-0.61984671,1.99770226,4.73328123,2372922214.020371,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
FIL,Filecoin,61,2.4910348186324285,1712635877.37784,165358125.02535215,-0.35580487,2.31587643,7.26657633,687519847,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
FLOKI,FLOKI,84,0.00009749185973325749,930038912.1095066,85901802.14540954,-0.38163152,2.46796847,4.63684282,9539657102184.107,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
FLR,Flare,63,0.022287252256866154,1647534058.0492747,6665417.71001,-0.29313904,1.28790978,8.82235669,73922708778.14066,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
GALA,Gala,97,0.017192017216551732,789638382.9329703,73199802.64941561,-0.5364727,2.40833236,5.43059682,45930525370.387634,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
GGP,GoGoPool,5133,2.3649748313529257,0,10396.33616281,-1.46148471,9.7754806,-8.75864506,0,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
GNO,Gnosis,149,138.88203416015824,366519709.4916421,4742395.51473093,-0.21289566,1.97676775,4.23602814,2639072.15723074,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
GRT,The Graph,81,0.09807963052809568,1027397210.0253551,122005962.74742019,-0.23749356,4.28662969,8.83639538,10475133363.507616,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
HBAR,Hedera,18,0.2331845286584538,9885374793.082188,223005475.19998932,-0.3628508,3.21794399,5.32867664,42392927395.11604,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
HNT,Helium,135,2.3549087197190643,438281684.7383492,8759696.63727939,-0.16248095,1.52716318,-7.08549288,186114086.3203544,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
HYPE,Hyperliquid,11,55.009488215222255,18369218282.440617,349913317.4493701,-0.07544892,4.92921751,19.20420511,333928180,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
IMX,Immutable,78,0.5507529040316046,1068426536.9237156,27682584.76115271,-0.01826409,1.90936319,4.70700962,1939938090.3898141,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
INJ,Injective,66,13.953388025806806,1394933253.0785995,177938378.78761858,-0.55767715,0.57609077,4.90928402,99970935.41,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
JASMY,JasmyCoin,105,0.014360689575182892,710064291.4088507,29715524.37377266,-0.34854764,1.62928404,-0.44715569,49444999677.16958,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
JTO,Jito,104,1.900566127741846,714060788.3423741,36049852.89466122,-0.07817127,0.53259392,0.48223017,375709520.4,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
JUP,Jupiter,62,0.5334315020943524,1659902513.1207168,58077360.91242366,-0.01395465,3.6329069,6.56723337,3111744444.42,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
KAS,Kaspa,49,0.08248603514875215,2200914580.589186,34958752.41275485,-0.45778804,2.71269762,-2.63886844,26682269024.328075,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
KAVA,Kava,141,0.3742028027546964,405206652.64291906,15317714.76345691,0.35582232,2.29969761,1.00926339,1082853067,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
LDO,Lido DAO,76,1.2378579960140477,1109042498.116847,102959626.11059093,-0.1305149,5.36008459,-0.10456848,895936772.7865461,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
LINK,Chainlink,12,23.585927906983354,15993617016.82697,784904813.6873318,-0.04644728,2.7289453,-0.68662097,678099970.4527867,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
MANA,Decentraland,111,0.32147941439598504,633227328.7721312,31872637.73614562,-0.57880726,0.96080776,3.58406457,1969729010.368757,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
MKR,Maker,3484,1751.5307795091107,0,59322674.00045478,-0.17708101,-1.35971319,1.95809736,0,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
MNT,Mantle,30,1.4725685090695635,4790182978.390356,613176798.2764791,2.66868785,17.32194158,32.23473417,3252944055.836841,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
MOG,Mog Coin,152,9.139064859995865e-7,356942195.6281317,15596987.28012768,-0.60258633,3.15527809,5.57895488,390567526433216.7,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
MORPHO,Morpho,106,2.073739701242876,698366153.3751822,40172656.20562511,-0.99729137,6.8611609,2.00695067,336766544.49766433,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
MOVE,Movement,153,0.12924652391456118,348965614.5693152,38444912.11290524,-0.14367572,4.72342372,7.52925911,2700000000,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
NEAR,NEAR Protocol,36,2.699836109084938,3374355041.4717026,193194582.4701821,-0.48209142,1.97513569,9.01569641,1249836992,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
NEXO,Nexo,93,1.2899153522838425,833473438.2817186,11338731.97359824,0.16816769,2.34562445,1.22229793,646145839.5746847,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
ONDO,Ondo,38,1.0207382196272203,3224621794.7624073,424437557.8328197,-0.03120482,7.53367137,6.03710761,3159107529,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
OP,Optimism,69,0.7765324476468211,1381167316.3355105,168249277.22435933,-0.54547773,3.33967537,7.3834873,1778634390,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
PENDLE,Pendle,96,4.8189717533120975,813533566.5531938,82284745.8725516,-0.46329847,2.3937679,0.55555083,168818911.62654132,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
PENGU,Pudgy Penguins,48,0.035131129693548833,2208356727.627045,442507164.88044304,-0.49559786,5.92866123,13.56561353,62860396090.04,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
PEPE,Pepe,32,0.000010535531989886954,4432191895.622241,518160397.2116594,-0.23926019,3.01585614,6.43588967,420689899653543.56,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
POL,POL (prev. MATIC),43,0.27045756932526915,2838785064.6216545,179363092.97492686,0.0149618,0.198818,-4.41025405,10496230782.905375,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
PUMP,Pump.fun,55,0.005557989386520092,1967528242.8281126,454378434.4846909,-2.44027134,19.81154747,39.91256471,354000000000,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
PYTH,Pyth Network,82,0.17293496128923916,994373185.2532479,357833824.87774664,-1.07771702,8.74539382,8.19227687,5749983565.151568,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
QNT,Quant,72,100.28023964471123,1210657059.8078117,26564094.9845262,0.44035974,1.3223913,-1.62323302,12072738,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
RAY,Raydium,85,3.4501311323326544,925073620.1325123,97889095.39529648,-0.51998751,4.26882434,-0.08091429,268127089.855586,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
RENDER,Render,54,3.9130237862879995,2029233938.2530541,82910148.43080449,-0.69627282,3.6504186,11.77053912,518584616.1640741,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
RSR,Reserve Rights,131,0.007717381560906341,460543621.9973997,18915929.47118684,-0.42578039,0.9063885,0.45798102,59676150306,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
S,Sonic,91,0.30195780661422017,869638483.0489541,96298397.55648708,-0.42045863,-1.24470648,-3.03701714,2880000000,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
SAND,The Sandbox,101,0.2995686883565004,770876868.0762992,50664995.68005228,-0.42333443,2.21117085,6.02467618,2573289192.2233224,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
SEI,Sei,56,0.3181297066753776,1910899104.5513482,165267178.06787542,-0.44567844,4.73371821,8.25170382,6006666666,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
SHIB,Shiba Inu,23,0.000013062065414092916,7696768425.118546,212150464.09415635,-0.12782373,1.75778981,4.13123792,589245894972655.1,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
SOL,Solana,6,222.50179005561688,120625291448.3125,8957532742.632153,-0.56367933,3.58577599,5.54858427,542131779.7855057,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
